satisfaction with workload, satisfied with  work-life balance, mentally well and do not have anxiety ,satisfied with job profession ,satisfied  compensation ,family supports , satisfied with career and  opportunity,working hour, good relationship with peers , work is meaningful ,TOI (turnover intention),Closeness Coefficient,Category
4,4,4,4,4,4,4,1,4,4,1,0.389227979,Behavioral
4,4,4,4,4,4,4,2,4,4,0,0.471334573,Behavioral
4,4,4,4,4,4,4,2,4,4,0,0.471334573,Behavioral
4,4,5,5,2,5,5,2,5,4,0,0.493993576,Behavioral
5,5,5,5,5,5,5,1,5,5,1,0.470260796,Behavioral
4,4,3,4,4,5,4,2,3,5,0,0.469398698,Behavioral
3,4,3,4,4,4,4,2,4,4,1,0.437509613,Behavioral
4,4,4,5,4,5,5,1,5,4,0,0.423191822,Behavioral
5,5,5,5,5,5,5,1,5,5,0,0.470260796,Behavioral
4,4,4,4,3,3,4,2,4,4,1,0.444352868,Behavioral
4,4,4,5,4,4,4,1,4,5,0,0.402749221,Behavioral
2,3,3,2,2,3,3,4,3,4,1,0.575527944,Behavioral
4,4,5,5,4,4,5,1,5,4,0,0.42552083,Behavioral
2,2,2,2,2,2,2,4,2,3,1,0.514888679,Behavioral
5,4,5,4,4,5,4,1,5,4,0,0.436687797,Behavioral
3,3,2,3,3,3,2,4,3,3,1,0.587309389,Behavioral
2,3,2,2,3,2,3,3,3,3,1,0.43072649,Behavioral
4,4,4,4,4,5,4,1,4,4,0,0.402166032,Behavioral
4,4,4,4,5,4,4,1,5,4,0,0.409488477,Behavioral
4,4,4,4,4,4,4,1,4,4,0,0.389227979,Behavioral
4,4,4,4,4,4,4,1,4,4,1,0.389227979,Behavioral
4,4,5,4,4,4,4,1,4,4,0,0.404823176,Behavioral
4,4,5,4,4,5,4,1,5,5,0,0.426992092,Behavioral
4,4,4,5,4,5,4,1,4,4,0,0.409337699,Behavioral
5,4,5,4,5,5,5,1,4,5,0,0.45366156,Behavioral
4,4,5,4,4,5,4,2,3,5,0,0.497483851,Behavioral
4,4,4,4,3,3,4,2,4,4,0,0.444352868,Behavioral
4,4,5,5,3,5,5,2,5,4,0,0.505610277,Behavioral
4,4,5,5,4,5,5,2,5,5,0,0.521718196,Behavioral
4,4,4,4,4,3,4,3,4,4,0,0.584974125,Behavioral
4,4,4,5,3,4,4,2,4,4,0,0.465485589,Behavioral
1,2,4,3,3,3,3,4,4,3,1,0.581195409,Behavioral
4,4,5,5,4,5,5,2,4,4,0,0.512012022,Behavioral
2,2,2,2,3,3,3,4,2,3,1,0.549435339,Behavioral
4,4,4,4,4,4,3,3,4,4,0,0.588678372,Behavioral
4,4,3,4,4,4,3,2,4,4,0,0.446581462,Behavioral
2,2,2,2,2,3,2,4,3,2,1,0.527184875,Behavioral
2,2,2,3,2,2,3,4,3,2,1,0.531572275,Behavioral
2,2,2,2,3,2,3,4,3,3,0,0.543611825,Behavioral
4,4,4,4,4,4,4,2,5,4,0,0.47773294,Behavioral
4,4,4,4,4,4,4,3,4,4,1,0.59852923,Behavioral
3,4,4,4,3,4,4,3,4,4,1,0.564445792,Behavioral
3,4,4,4,3,4,4,3,4,4,0,0.564445792,Behavioral
4,4,5,4,4,5,4,3,4,4,0,0.620994667,Behavioral
4,4,5,5,5,5,5,2,5,5,0,0.53211759,Behavioral
3,4,4,4,4,3,4,2,4,4,0,0.440435207,Behavioral
4,4,4,4,3,3,4,2,4,4,0,0.444352868,Behavioral
4,3,4,3,3,4,3,2,4,4,0,0.428705059,Behavioral
2,2,2,2,3,3,2,4,3,3,1,0.547099378,Behavioral
3,4,3,4,3,4,3,3,4,3,0,0.531021635,Behavioral
2,2,2,3,2,3,2,4,2,3,1,0.534454186,Behavioral
4,4,4,4,4,4,4,1,4,4,0,0.389227979,Behavioral
4,4,3,3,5,4,4,2,4,4,0,0.463712865,Behavioral
4,4,4,4,4,4,4,1,3,4,0,0.384008286,Behavioral
2,2,2,2,2,2,2,4,3,3,1,0.521026646,Behavioral
4,4,4,4,4,4,4,1,4,4,0,0.389227979,Behavioral
4,4,4,4,4,5,4,1,5,4,0,0.408173751,Behavioral
4,4,3,4,4,3,4,2,3,4,0,0.436516489,Behavioral
4,4,3,4,3,3,3,2,4,3,0,0.410953499,Behavioral
5,5,4,5,5,5,5,1,5,5,0,0.460110331,Behavioral
4,5,5,4,3,4,4,2,4,5,1,0.489149637,Behavioral
1,1,1,4,2,1,3,5,3,2,1,0.566703011,Behavioral
5,5,5,5,5,4,5,2,5,5,0,0.543174986,Behavioral
1,3,4,2,2,2,1,5,2,4,1,0.607117788,Behavioral
5,5,3,4,4,4,5,2,5,5,0,0.503484293,Behavioral
4,4,4,4,3,3,3,2,4,4,1,0.43452795,Behavioral
4,5,5,3,4,5,4,1,4,5,1,0.425510698,Behavioral
5,4,3,5,4,3,4,2,5,4,0,0.47629995,Behavioral
1,2,1,2,2,2,3,4,3,3,1,0.499054461,Behavioral
5,4,5,5,3,5,5,1,5,4,0,0.439873723,Behavioral
5,5,4,5,5,5,5,1,4,5,0,0.455752336,Behavioral
4,5,4,5,5,5,5,2,5,5,0,0.528790599,Behavioral
5,4,4,4,5,3,3,1,5,4,0,0.408514091,Behavioral
5,4,5,5,5,5,4,1,5,5,0,0.45694425,Behavioral
5,5,5,5,5,4,4,1,5,4,0,0.451513858,Behavioral
4,4,4,3,3,4,3,2,5,5,0,0.454031911,Behavioral
1,2,1,4,2,2,4,5,3,3,0,0.597667149,Behavioral
5,5,3,5,4,5,5,1,3,5,0,0.430826149,Behavioral
4,4,3,4,5,4,4,1,4,4,0,0.39041252,Behavioral
2,2,2,3,2,2,3,4,3,3,1,0.537720475,Behavioral
4,4,3,5,4,4,4,1,4,4,0,0.383377396,Behavioral
5,5,4,4,5,4,4,1,5,5,0,0.438740313,Behavioral
4,4,4,4,5,4,3,2,5,4,0,0.482760665,Behavioral
4,4,3,4,5,4,4,1,4,4,0,0.39041252,Behavioral
4,4,3,4,3,4,4,2,4,4,0,0.441464162,Behavioral
5,4,4,4,5,5,4,1,5,4,0,0.435634015,Behavioral
2,2,2,3,2,2,3,4,3,3,1,0.537720475,Behavioral
2,2,2,3,2,2,3,4,3,2,1,0.531572275,Behavioral
4,4,5,4,5,5,5,2,4,5,0,0.521628575,Behavioral
